text,sentiment,film_id
bláznivá devadesátková krejzy komedie za soukromé peníze čili product placement v té době tomu asi tak ani neříkali v hlavní roli všichni pátrají na kanárských ostrovech po ukradené receptuře na becherovku jako točilo se na kanárech v době kdy byly stejně exkluzivní jako točit dneska ve francouzské polynesii je to obsazeno prvoligově dokonce legendy satinský lasica kopecký vinklář a věřím že herci se neskutečně vyblblli ale výsledkem je něco hrozně nezábavného nevtipného až trapného že já nevěřím že to bavilo i to české devadesátkové publikum tehdy,negative,9058
možná že tvůrci asi chtěli aby to byl jakýsi komedy horor z třetí vlny jinak si ty neuvěřitelný chyby neumím vysvětlit odpad to není ale nic od tohoto snímku nečekejte o,negative,131733
tento film má něco do sebe přesto ale je hrozně nudný čekal jsem že budou používat nějaké zbraně zl budoucnosti a ne kulomety a ruční zbraně námět na tu výbušninu kterou vyhodil do povětří to pole meteoritů vypadá jako z hvězdé brány zdálo se mi to jaké nepovedené sci fi od začínajícího režiséra který předtím vůbec nic nenatočil na druhou stranu dolph lungren si umí sjednat pořádek a bojovat stále dobře za celkový dojem dávám tak hvězdičku a to jenom za pár dobrejch akčních scén,negative,162926
namachrovanejtom cruise geniální autistadustin hoffman výborný road movie v kterým jedou okrádat kasina ve vegas no neber to,positive,5954
okázalý vizuální styl dramatické používání velkých detailů a pečlivě vypointované přestřelky používá sergio leone i ve své westernové opeře které vévodí nesmrtelný a z hlavy těžko vytlačitelný harmonikový motiv poměrně složitě vystavěný příběh původně zkomolili producenti kteří vystříhali hned několik scén které by dle jejich soudu americké diváctvo mohlo postrádat nesmírně osobní archetypální příběh pomsty velký důraz na misanscénu a soustředěné herecké výkony dělají z téhle látky něco opravdu věčného,positive,5911
hodně dlouho se pracovalo na trojce discopříběhu ale jelikož práva stali hrozně moc peněz tak tu máme nový discopříběh bez potměšila se jménem decibely lásky tohohle filmu jsem se strašně bál a je to stejně nesnesitelné jako první dva discopříběhy vlastně ještě více ps nejlepší je na filmu cameo karla gotta duet s ivou janžurovou má aspoň nějaký osobní kouzlo,negative,343970
scénář graham chapman john cleese terry gilliam eric idle terry jones michael palin chápu z čeho se zde dělá sranda církev sucks ale jak se toho dociluje mne převážně těžce míjí,negative,23587
komentovat radši nebudu něco jsem pochopil něco ne a nejspíš stejně špatně babička podle boženy němcové jen ji lynch zřejmě nečetl,positive,6253
těžko říci zda to někdy mělo scénář který by dával smysl ale ono tu vlastně smysl nedává téměř nic od vizuální podoby která vypadá v každé scéně jinak přes triky ve kterých se zřejmě ztratil i pan režisér až po herecký výkon jiřiny bohdalové v hlavní roli děti naštěstí mají dost rozumu aby se podobným taškařicím pro starší a pokročilé to platí zejména o senilitě vyhnuly,negative,224830
shlédl jsem tuto komediální sci fi časovku znovu po létech a musím uznat že kvality neztrácí dáme vůdci vodíkovou bombu hitler vítězství je na dosah ruky můj vůdče přicházíme abychom v poslední chvíli zachránili velkoněmeckou říši před čím svérázný trailer je zde výtečného sováka a brodského se v drobné roli zaskvěla i marie rosůlková tedy chovat se neumíte v tom dějiny nelhaly,positive,7404
tak to byla opravdu absolutní blbost navíc závěrečná honička se sanitkou byla naprosto zbytečná a mimochodem kam se během filmu vytratí co pilot,negative,89504
jeden z absolutních vrcholů akčního filmu v historii všechny díly jsou super ale jednička je nejvíc excelentní a zdá se mi že zraje jako víno čím je starší tím je lepší filmu se nedá vytknout naprosto nic od námětu herců kamery střihu vtipu hlášek brutality hlavního hrdiny který dostává brutální kapky a nakonec stejně se všemy vyjebe prostě převrat v dějinách akčních filmů tímto filmem si willis jednoznačně zajistil bezstarostnou kariéru a důchod,positive,6642
slabé béčkové pokračovanie znovu uvádza na scénu maniakálneho fízla matta cordella aby dokončil to čo v prvom diely nestihol očistiť svoje meno a pomstiť sa skorumpovaným policajtom hororová atmosféra jedničky opadla a nastupuje akcia a divoké prestrelky záver sa zmení na dobrú komédiu kde sa z cordella stáva živúca pochodeň a zapa uje každého koho vidí bruce campbell sa tu objaví len sotva na minút zato ho smelo nahradzuje charismatický tvrďák v podaní roberta daviho moc ve ká zábava už to ale nie je chýba totiž atmosféra prvého dielu ktorý ťažil atmosféru z temných ulíc new yorku,negative,6239
nejslabší pokračování které mi přišlo moc ukecané málo akční a celé to poměrně dobře uspávalo z dar už není tak moc démonickej a ten okultismus či co to bylo mi evokoval poměrně špatného halloweena p m m sice se tu objeví staří známý z předchozích dílů ale to je tak vše ps ted raimi potěšil,negative,6240
k těm zaručeným kinohitům které obec fanoušků považuje za vážné kandidáty pro nejlepší snímek roku mívám rezervovaný postoj obvykle dávám přednost filmům mimo hlavní proud a často mě dokáže nadchnout vyložený filmový outsider nicméně v případě gran torina musím konstatovat že jde o velmi slušné melodrama kde clint eastwood zúročil své dlouholeté zkušenosti na poli režie i herectví ne že by starý dobrý clint byl tak skvělý režisér je to spíš velmi kvalitní a spolehlivý řemeslník který dobře zná své limity a svůj film kormidluje do vod kde se cítí jako doma jeho postava je vlastně přímým pokračováním jeho nejpopulárnějších hrdinů tzn lovce hlav ze starých westernů serga leoneho a především drsného inspektora harryho callahana přidejte callahanovi let a máte tu nerudného důchodce a ctitele pravých amerických hodnot walta kowalskiho děj je sice po převážnou většinu stopáže předvídatelný a jeho poselství je každému jen trošku zkušenému divákovi jasné po několika minutách ale eastwood dokáže svůj film obohatit řadou milých divácky vděčných scén jako je zasvěcování asijského výrostka do mluvy správných chlapů nebo úsměvné multietnické střety mezi nevrlým američanem a jeho asijskými sousedy tam kde režisér udržuje tragikomickou polohu je jeho příběh a podání uvěřitelné a navýsost sympatické tam kde se vkrádají prvky osudového dramatu a sebeobětování sklouzává film na pokraj sebeparodie např v momentu kdy bezmála letý stařík s prokouřenými plícemi napadenými rakovinou srazí k zemi a dá nakládačku o tři generace mladšímu členu zločineckého gangu jinak obecně platí že filmy clinta eastwooda a jeho hrdinové jsou tak dokonalou esencí těch nejryzejších amerických hodnot že by se jeho filmy měly povinně promítat na sjezdech republikánské strany patří k nim střelné zbraně tvrdý kovbojský postoj vyhraněný patriotismus a sociální konzervatismus pokud je ale dokáže režisér zlehčovat a doplňovat např parodií politické korektnosti kdy se se starým přítelem z holičství dělají drsné narážky na své národnosti je to nejen stravitelné ale i fajn celkový dojem,positive,240479
