text,stars,sentiment,film_id
"Po čtyřiceti letech bloudění na pouštním, vězničním buzerplace bankéř vyvede do zaslíbené země Mexika Žida, teda Ira Freemana, čímž z něj udělá freemana. Doufám, že to nemusím interpretovat politicky... Pokud mě k tomu nikdo nebude nutit, tak se raději budu tvářit, že jsem se koukal na pohádku o vytrvalosti, naději, drobnostech, co pomáhají přežít další den a božích mlýnech, co melou pomalu, ale když se jim pomůže, tak jistě. +++++ V pohádkách se zlo dává poznat ihned a zlem zůstává, dobro se někdy musí hledat, ale nakonec se najde. Občas přitom trpí, občas zlu nezabrání působit utrpení, ale nakonec, za doprovodu melancholického, někdy až tesklivého klavíru, vítězí. Jeho prohry i finální výhra se umí strefit do diváka, až zaslzí. Pomáhá v tom i životní moudrostí nasáklý vypravěč s hlasem Freemana. Škoda, že chvílemi ujiždí ve svých promluvách k mudrování, jež jakoby se inspirovalo motivačními příručkami a new age guruy. Shawshank je dojákem, jemuž hrozí pád ke kýči, ale precizně odvyprávěným, sice s ploššími záporáky, ale slušně navrženým hlavním hrdinou, navíc s ucházející fabulí. Darabont (nebo King?) si v některých případech příliš lacině hraje s umísťováním (hádám zpětným, tj. po vymyšlení příběhu) náznaků, např. Monte Christem, nebo ""rekontextualizací"" (Brooks was here / Red was here). Takhle se vodí divák v dětství. Škoda, v rámci dojáků na mě Shawshank zabral nadprůměrně. A mohl i lépe.",3,neutral,2294
"Navnazen dobrými recenzemi, zašel jsem si na to do kina. Ten film mě nechal úplně chladným. Kult, který nechápu.",3,neutral,2294
"Někdy se mi stává že vidím film který se mi příliš nelíbí, ale když si pak na něj přečtu spoustu pozitivních ohlasů, snažím se na něj dívat z jiných úhlů a mnohdy jeho krásu nakonec objevím. Bohužel, Shawshank zůstává v mých očích nadále příběhově  lacinou, vykonstruovanou, schematickou a svým způsobem zbabělou pohádkou, jejíž závěr odhadnete 20 minut po začátku. Shawshank mi kupodivu hodně připomíná (docela kritizovaný) Spielbergův snímek Terminál (postava hlavního hrdiny, postava záporáka, předvídatelnost, schematičnost, prvoplánová sladkobolnost)..Jenomže narozdíl od Terminálu není tento film oddechovou komedií, nýbrž vážně míněným dramatem, navíc neskutečně natahovaným, takže mi u něj zmíněné nedostatky silně vadí. A ano, kdyby se film točil dnes, by byl Andyho nejlepším přítelem ten homosexuál...",3,neutral,2294
"Nikdy jsem film nepovažoval za nijak vyjímečný, ale musím uznat že jsem mu celá ta léta velice křivdil. Film jsem si po letech pustil znovu a opravdu to má vše důležité a je to velice dobře a vtipně provedené. Z původní jedné hvězdy dávám 3",3,neutral,10135
"Tři hodiny hezky zrežírovaného, nestřídmého ždímání slz. K dalšímu zhlédnutí narozdíl od Shawshanku ani nemám chuť. 70%Zajímavé komentáře:fantoci, PALINO, Mahalik, Triple H, reypal, Othello, Petroniusx",3,neutral,2292
"Tom Hanks spíš vypadal jako nějakej pečovatel v ústavu pro nevyléčitelně nemocný, takže nechápu, jak ho někdo může tak chválit. Už vidim, jak takovej dozorce se baví s vězněma jako největší kámoš a pak je skoro se slzama v očích popraví :-) Ale musim uznat, že jsem fakt záviděl tomu maníkovi, jak dělal ten trik, že mu z pusy lítaly ty mouchy. To bych chtěl umět taky.",3,neutral,2292
"Paul je citlivým dozorcem ve věznici,odkud zločinci chodí na smrt. Jeho životem pohne vězeň John,který údajně zabil dvě děti.Vypadá jako nelítostný hromotluk,ale ve skutečnosti je to čistá duše.Nelze uvěřit,že by zabil nevinné mladé dívenky a zasloužil si trest smrti...Krásný dojemný film se smutným koncem,který dostane snad každého.A především také psí oči M.C.Duncana.Je to určitě nadprůměrný film,ale u mě to je ""jen""za lepší 3*.",3,neutral,2292
"Měl jsme problém se vyrovnat s několika faktory. 1) Bylo to moc dlouhé. 2) Očekával jsem strhující podívanou, ta se ovšem nekonala. 3) Se svou únavou.
Suma sumárum => Nadhodnocený film.",3,neutral,2292
"Moji oblíbení uživatelé se předhánějí v superlativech, ve kterých figurují termíny jako nepřekonaný vrchol žánru nebo dokonalá filmová esej, já budu podstatně střízlivější a v opozici proti filmovým fanouškům na CSFD, kteří Sedm zařadili do top desítky, musím konstatovat, že podle mého mínění snímek má jediné, ale velmi výrazné plus v podobě atmosférické režie Davida Finchera. Ten jako i jinde ve své tvorbě tady kouzlí s kamerou, pečlivě vytváří scénu, hraje si se zvukem i obrazem a všechno podřizuje maximálnímu efektu a diváckému zážitku. Bohužel na úkor logiky, je to zkrátka takové prvoplánové. Spíš než ke kriminálnímu thrilleru to směřuje k hororovému žánru, jmenovitě je to předzvěst pozdější úspěšné hororové série Saw. Scénář je překombinovaný, stejně jako u podobně laděných filmů s geniálním manipulátorem, jako je např. Prvotní strach, by v reálu podobný konstrukt nefungoval. Ono je vůbec zajímavé sledovat řadu filmových detailů, kde Fincher všechno podřizuje atmosféře. Např. kamkoli hrdinové vstoupí, musí být zataženo a chraň pánbůh, aby kdokoli zmáčkl vypínač osvětlení. Svítí se baterkami nebo místnost spoře osvětlují světélka červených výbojek, aby víc vynikla ponurost prostředí a jeho tajemnost. Režisér si vybírá co nejodpudivější prostředí, zanedbané a zaneřáděné uličky na periférii, staré budovy s oprýskanými fasádami a ještě mnohem víc si vyhrává s interiéry. Ty jsou obvykle mnohem zaneřáděnější a zdevastovanější, než by v reálu bylo možné. Kamera se přímo pase na hnilobě a plísních, které by v reálu upozornily už dávno okolní nájemníky na nějaké nekalosti. Policisté vniknou do bytu a s napřaženými zbraněmi postupují do poslední místnosti, kde teprve až strhnou pokrývku z oběti, rázem se chytají za nos. I tady Fincher všechno podřizuje momentu překvapení. Je dobré si srovnat dynamicky natočenou scénku honičky v činžovním domě se scénou honičky po střechách a bytech arabské čtvrti ve filmu Borneův mýtus. Zatímco ta druhá organicky zapadá do příběhu, tady by v reálu mělo pachateli stačit seběhnout schodištěm a zmizet hlavním východem, jenže to by pochopitelně bylo divácky nepřitažlivé, takže Fincher nechává svého padoucha a jeho pronásledovatele probíhat částmi domu, který pravděpodobně dosud nikdo nepostavil a také nikdy nepostaví, protože by šlo o nezkolaudovatelný architektonický unikát. Podobných úletů by byla celá řada, ale síla Fincherova nezaměnitelného režijního rukopisu je tak výrazná, že to v očích převážné většiny diváků spolehlivě zakrývá. Takovou scénu, kdy Brad Pitt má pistoli u své hlavy a očekvává výstřel, musím v její atmosféričnosti ocenit i já. Divácký zájem pochopitelně poutá i brutalita jednotlivých zločinů, ale můj dojem k tříhvězdičkovému hodnocení snižuje i filozofický rámec dramatu, se kterým se ani v nejmenším neztotožňuju. Zatímco jiný Fincherův film Klub rváčů mi přišel jako skvělé zpracování fenoménu revolty, anarchismu a konzumismu v moderním velkoměstě, tady mi ten nihilismus a deprese přijdou nepatřičné. Celkový dojem: 60 %.",3,neutral,2671
"Vzhledem k superlativům, které jsem na tento film slýchal, a zejména Davidu Fincherovi na režisérské stoličce jsem čekal opravdový zázrak, film který jen tak nerozdýchám, avšak nic takového jsem nedostal. Vlastně pominu-li ten konec jedná se o docela obyčejnou kriminálku se solidní zápletkou, která má sice originalitu, ale na druhou stranu si s ní tvůrci nepohráli tak jak mohli. Obyčejnost čpí snad z každého detailu a snímek se nijak neprosazuje a nesnaží se o šílené zvraty, místo toho Fincher pečlivě buduje atmosféru a hlavně si vychutnává nejistotu, ve které se čím dál více topí hlavní hrdinové. Vrah, ačkoli se nejspíše jedná o šílence, jedná geniálně a přestože nechává stopy, a vlastně si tak z detektivy pohrává, nemohou policisté chytit ten správný směr. Stejně tak působí i na diváka, který je zvědav, jakou ohavnost si na ně režisér přichystal a s nervozitou očekává postup vyšetřování, i když může tušit jak bude příběh pokračovat. Co se týče hereckých výkonů, tak nejsou nijak zvláště jiné než jak jsem očekával. Herci nepřekonávají svůj standard, nesnaží se dosáhnout skvělých výsledků, ale zároveň se drží dostatečně vysoko nad vodou neherectví, což je samozřejmě dobře. Celkově se jedná o vcelku povedený thriller, který začíná docela obyčejně, ale gradace napětí nás dovede až do vrcholného šokujícího závěru, ve kterém se zcela nečekaně staneme svědkem události, která se má zapsat do dějin, což zabiják vystihl naprosto skvěle. Právě konec je tou nejpovedenější častí, v nehostinné poušti se totiž dozvíme jména posledních dvou obětí a musím se přiznat, že mě obě dostatečně šokovaly. Vrah svůj boj vymyslel do posledního detailu.65%",3,neutral,2671
